0.01,Down,20,40,133500,7,0.1,734,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133515,9,0.2,711,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133545,9,0.2,687,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133600,8,0.2,675,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133615,8,0.2,668,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133630,8,0.2,659,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133645,8,0.2,647,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133700,8,0.2,636,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133715,7,0.2,626,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133730,8,0.2,618,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133745,7,0.2,605,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133800,7,0.2,602,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133815,7,0.2,599,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133830,8,0.2,596,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133845,7,0.2,591,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133900,7,0.2,591,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133915,7,0.2,585,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133930,8,0.2,562,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133945,8,0.2,563,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134000,8,0.2,561,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134015,8,0.2,554,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134030,7,0.2,564,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134045,7,0.1,567,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134100,8,0.1,562,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134115,7,0.1,556,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134130,6,0.1,561,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134145,7,0.1,566,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,134200,8,0.1,566,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134430,7,0.1,647,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134500,7,0.1,628,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134515,7,0.1,617,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134530,6,0.2,605,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134545,7,0.2,601,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134600,5,0.2,606,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134615,6,0.2,595,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134630,7,0.2,595,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134700,7,0.2,582,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134715,8,0.2,582,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134730,7,0.2,574,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134745,7,0.2,569,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134800,7,0.2,562,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134815,8,0.2,561,+,IU7GTP,N6LZ,R-15
0.01,Left,20,40,134830,7,0.2,561,+,IU7GTP,N6LZ,R-15
